method,seed,round,labels,true_return,regret,gradient_cosine,directional_gradient_bias,posterior_directional_variance,rm_error_full_centered,rm_error_policy_centered,rm_error_critical,rm_decoy_abs_mean,proxy_grad_norm,true_grad_norm,beta,l2
pool_uniform,0,21,190,2.863413462179281,0.26658653782071884,0.9988490824899684,0.31263405170419484,0.1562777517576618,3.454663838746451,3.881035156256147,13.001686675462308,1.216083540294043,0.3431109956425436,0.030512060803394473,5.0,0.001
pool_uniform,0,22,198,2.868437710084591,0.2615622899154091,0.9988480520082652,0.2888739010631081,0.13366799805490648,3.7014157919410544,3.7258807221881938,12.911083863231259,1.806594615587371,0.31707450925710023,0.028233131292885336,5.0,0.001
pool_uniform,0,23,206,2.8727705208570073,0.25722947914299255,0.9989239560039836,0.2700536561283779,0.11559777808943345,3.69527564622787,3.6088377777846117,12.921974468321677,1.6737378618776482,0.296289733691799,0.02626433914787052,5.0,0.001
pool_uniform,0,24,214,2.8765292530065043,0.2534707469934956,0.9989320788631825,0.25246571905728427,0.10091163424851811,3.699047869660946,3.4890378573926184,12.931917598874005,1.6829629769224161,0.2769936944516685,0.024554197340721916,5.0,0.001
pool_uniform,0,25,222,2.8798191664797637,0.25018083352023623,0.9989327727237066,0.23687307985061185,0.08885509272920374,3.6998767796895615,3.377375148787678,12.922008886488175,1.6990848129432172,0.2599041496699433,0.023055675465061123,5.0,0.001
entropy,0,0,22,-0.12873306053526853,3.2587330605352682,0.9894415780470193,2.3784615415126273,49.15337291762149,2.6447168938592807,6.025441397488814,5.392044459264285,0.8782963085394269,3.0626921850994635,0.6915321316265943,5.0,0.001
entropy,0,1,30,0.7782309034126736,2.351769096587326,0.9916475445127457,2.1039853154209274,33.57501386539434,2.730180786363151,5.847619891527549,5.392030032935614,1.0771343806999545,2.6381448654515967,0.5386586726165222,5.0,0.001
entropy,0,2,38,1.4353752849384054,1.6946247150615945,0.9937003433258728,1.8845231910750972,30.60825759450837,2.726008279562347,5.754336243585766,5.392030515858257,1.2082649786652777,2.3469778661641034,0.4653864499444471,5.0,0.001
entropy,0,3,46,1.9235315507357342,1.2064684492642657,0.9951260956867296,1.5100225684832527,20.433670124243154,2.7260082177158993,5.278654053485884,5.3920309458865345,1.208264982645971,1.874939491539539,0.3667042042591189,5.0,0.001
entropy,0,4,54,2.2244212574454636,0.9055787425545363,0.9959047208768755,1.1577389782569405,12.244449053498744,2.7367361105532972,4.690189612185268,5.392031021215103,1.2886560105917415,1.436396861760813,0.27980375799255097,5.0,0.001
